gene gene_id gene_type chromosome start_position end_position pLI gene_midpoint
OVGP1 ENSG00000085465 protein_coding 1 111956936 111970399 0.00067299 111963667.0
WDR77 ENSG00000116455 protein_coding 1 111982512 111991998 0.0002454 111987255.0
ATP5F1 ENSG00000116459 protein_coding 1 111991486 112005395 0.0015286 111998440.0
C1orf162 ENSG00000143110 protein_coding 1 112016414 112021134 1.4202e-05 112018774.0
ADORA3 ENSG00000121933 protein_coding 1 112025970 112106584 0.0001441 112066277.0
RAP1A ENSG00000116473 protein_coding 1 112084840 112259313 0.62227 112172076.0
FAM212B ENSG00000197852 protein_coding 1 112223252 112298446 0.0079857 112260849.0
DDX20 ENSG00000064703 protein_coding 1 112297867 112310638 7.7601e-14 112304252.0
KCND3 ENSG00000171385 protein_coding 1 112313284 112531777 0.98972 112422530.0
CTTNBP2NL ENSG00000143079 protein_coding 1 112938803 113006078 0.0027461 112972440.0
WNT2B ENSG00000134245 protein_coding 1 113009163 113072787 0.038333 113040975.0
ST7L ENSG00000007341 protein_coding 1 113066140 113163447 2.2024e-09 113114793.0
CAPZA1 ENSG00000116489 protein_coding 1 113161795 113214241 0.9329200000000001 113188018.0
MOV10 ENSG00000155363 protein_coding 1 113215763 113243368 0.80908 113229565.0
RHOC ENSG00000155366 protein_coding 1 113243728 113250056 0.76766 113246892.0
PPM1J ENSG00000155367 protein_coding 1 113252616 113258099 2.2494e-09 113255357.0
FAM19A3 ENSG00000184599 protein_coding 1 113263041 113269857 3.6668e-05 113266449.0
SLC16A1 ENSG00000155380 protein_coding 1 113454469 113499635 0.00073565 113477052.0
LRIG2 ENSG00000198799 protein_coding 1 113615831 113674882 7.9705e-18 113645356.0
MAGI3 ENSG00000081026 protein_coding 1 113933371 114228545 0.02978 114080958.0
PHTF1 ENSG00000116793 protein_coding 1 114239453 114302111 9.6863e-26 114270782.0
RSBN1 ENSG00000081019 protein_coding 1 114304454 114355098 0.099107 114329776.0
PTPN22 ENSG00000134242 protein_coding 1 114356433 114414381 3.4921e-21 114385407.0
BCL2L15 ENSG00000188761 protein_coding 1 114420790 114430169 0.048246 114425479.0
AP4B1 ENSG00000134262 protein_coding 1 114437370 114447823 1.335e-09 114442596.0
DCLRE1B ENSG00000118655 protein_coding 1 114447763 114456708 0.5391199999999999 114452235.0
HIPK1 ENSG00000163349 protein_coding 1 114471814 114520426 1.0 114496120.0
OLFML3 ENSG00000116774 protein_coding 1 114522063 114524876 5.6198e-08 114523469.0
SYT6 ENSG00000134207 protein_coding 1 114631913 114696541 0.0081153 114664227.0
TRIM33 ENSG00000197323 protein_coding 1 114935399 115053781 1.0 114994590.0
BCAS2 ENSG00000116752 protein_coding 1 115110178 115124260 2.7764000000000003e-08 115117219.0
DENND2C ENSG00000175984 protein_coding 1 115125469 115213043 5.9524e-12 115169256.0
AMPD1 ENSG00000116748 protein_coding 1 115215719 115238239 1.9099e-21 115226979.0
NRAS ENSG00000213281 protein_coding 1 115247090 115259515 0.49008999999999997 115253302.0
CSDE1 ENSG00000009307 protein_coding 1 115259534 115301297 1.0 115280415.0
SIKE1 ENSG00000052723 protein_coding 1 115312100 115323306 0.19572 115317703.0
SYCP1 ENSG00000198765 protein_coding 1 115397424 115537991 0.99997 115467707.0
TSHB ENSG00000134200 protein_coding 1 115572415 115576941 0.0083588 115574678.0
TSPAN2 ENSG00000134198 protein_coding 1 115590632 115632121 2.3496e-05 115611376.0
NGF ENSG00000134259 protein_coding 1 115828539 115880857 0.82026 115854698.0
VANGL1 ENSG00000173218 protein_coding 1 116184574 116240845 0.020285 116212709.0
CASQ2 ENSG00000118729 protein_coding 1 116242628 116311402 1.3885e-12 116277015.0
NHLH2 ENSG00000177551 protein_coding 1 116378998 116386538 0.5796399999999999 116382768.0
SLC22A15 ENSG00000163393 protein_coding 1 116519119 116612675 2.516e-09 116565897.0
MAB21L3 ENSG00000173212 protein_coding 1 116654376 116677861 9.6909e-07 116666118.0
ATP1A1 ENSG00000163399 protein_coding 1 116915290 116952883 1.0 116934086.0
CD58 ENSG00000116815 protein_coding 1 117057157 117113661 0.25092 117085409.0
IGSF3 ENSG00000143061 protein_coding 1 117117031 117210375 0.26474000000000003 117163703.0
CD2 ENSG00000116824 protein_coding 1 117297007 117311850 0.47108 117304428.0
PTGFRN ENSG00000134247 protein_coding 1 117452679 117532980 0.00047574 117492829.0
CD101 ENSG00000134256 protein_coding 1 117544382 117579167 3.2831e-13 117561774.0
TTF2 ENSG00000116830 protein_coding 1 117602925 117650075 1.0026000000000002e-22 117626500.0
TRIM45 ENSG00000134253 protein_coding 1 117653682 117665209 2.061e-08 117659445.0
VTCN1 ENSG00000134258 protein_coding 1 117686209 117753556 1.3669e-12 117719882.0
MAN1A2 ENSG00000198162 protein_coding 1 117910071 118071494 0.99892 117990782.0
FAM46C ENSG00000183508 protein_coding 1 118148556 118170994 0.94762 118159775.0
GDAP2 ENSG00000196505 protein_coding 1 118406107 118472253 1.4590999999999999e-09 118439180.0
WDR3 ENSG00000065183 protein_coding 1 118472343 118509165 2.0950999999999998e-13 118490754.0
SPAG17 ENSG00000155761 protein_coding 1 118496484 118727846 1.1892e-24 118612165.0
TBX15 ENSG00000092607 protein_coding 1 119425669 119532179 0.65773 119478924.0
WARS2 ENSG00000116874 protein_coding 1 119573839 119683294 0.050885 119628566.0
HAO2 ENSG00000116882 protein_coding 1 119911402 119936753 5.9977e-10 119924077.0
HSD3B2 ENSG00000203859 protein_coding 1 119957554 119965658 7.176e-08 119961606.0
HSD3B1 ENSG00000203857 protein_coding 1 120049821 120057681 2.3984e-07 120053751.0
ZNF697 ENSG00000143067 protein_coding 1 120162045 120190396 0.0039276 120176220.0
PHGDH ENSG00000092621 protein_coding 1 120202421 120286838 0.00013308 120244629.0
HMGCS2 ENSG00000134240 protein_coding 1 120290619 120311528 4.3354000000000005e-14 120301073.0
REG4 ENSG00000134193 protein_coding 1 120336641 120354283 0.00075276 120345462.0
NOTCH2 ENSG00000134250 protein_coding 1 120454176 120612240 1.0 120533208.0
FAM72B ENSG00000188610 protein_coding 1 120837756 120855681 0.0013854000000000002 120846718.0
FCGR1B ENSG00000198019 protein_coding 1 120926979 120935937 1.3372e-10 120931458.0
FAM72D ENSG00000215784 protein_coding 1 143896452 143913143 0.029905 143904797.0
NBPF8 ENSG00000162825 protein_coding 1 144146808 144224481 1.4181e-07 144185644.0
PDE4DIP ENSG00000178104 protein_coding 1 144836157 145076186 2.6099e-37 144956171.0
HFE2 ENSG00000168509 protein_coding 1 145413095 145417545 0.0042363 145415320.0
POLR3GL ENSG00000121851 protein_coding 1 145456236 145470388 2.3404e-05 145463312.0
PEX11B ENSG00000131779 protein_coding 1 145516252 145523730 0.00013346 145519991.0
ITGA10 ENSG00000143127 protein_coding 1 145524891 145543868 2.4464e-19 145534379.0
ANKRD35 ENSG00000198483 protein_coding 1 145549230 145568526 1.6567999999999998e-25 145558878.0
PIAS3 ENSG00000131788 protein_coding 1 145575233 145586546 0.9849899999999999 145580889.0
NUDT17 ENSG00000186364 protein_coding 1 145586115 145589439 1.1109000000000002e-07 145587777.0
POLR3C ENSG00000186141 protein_coding 1 145592605 145611025 5.0277e-12 145601815.0
CD160 ENSG00000117281 protein_coding 1 145695798 145715614 6.8425e-05 145705706.0
PDZK1 ENSG00000174827 protein_coding 1 145726918 145764074 1.1586e-09 145745496.0
GPR89A ENSG00000117262 protein_coding 1 145764411 145827103 6.6612e-14 145795757.0
PRKAB2 ENSG00000131791 protein_coding 1 146626685 146644129 0.72559 146635407.0
FMO5 ENSG00000131781 protein_coding 1 146646930 146714700 3.6951000000000004e-15 146680815.0
CHD1L ENSG00000131778 protein_coding 1 146714291 146767443 1.0034e-36 146740867.0
BCL9 ENSG00000116128 protein_coding 1 147013182 147098017 0.49606999999999996 147055599.0
ACP6 ENSG00000162836 protein_coding 1 147101453 147142618 2.3344e-13 147122035.0
GJA8 ENSG00000121634 protein_coding 1 147374946 147381393 0.002205 147378169.0
GPR89B ENSG00000188092 protein_coding 1 147400506 147465753 0.00021519 147433129.0
HIST2H3PS2 ENSG00000203818 protein_coding 1 149400131 149400542 0.0037116 149400336.0
FCGR1A ENSG00000150337 protein_coding 1 149754227 149764074 0.00013116 149759150.0
HIST2H2BF ENSG00000203814 protein_coding 1 149754245 149783928 0.004633 149769086.0
HIST2H3D ENSG00000183598 protein_coding 1 149784826 149785236 0.00070344 149785031.0
HIST2H2BE ENSG00000184678 protein_coding 1 149856010 149858232 0.54518 149857121.0
HIST2H2AC ENSG00000184260 protein_coding 1 149858525 149858961 0.18727 149858743.0
HIST2H2AB ENSG00000184270 protein_coding 1 149859019 149859466 0.6146699999999999 149859242.0
BOLA1 ENSG00000178096 protein_coding 1 149859440 149872351 0.03816 149865895.0
SV2A ENSG00000159164 protein_coding 1 149874870 149889434 0.22782 149882152.0
SF3B4 ENSG00000143368 protein_coding 1 149895209 149900236 0.9917600000000001 149897722.0
MTMR11 ENSG00000014914 protein_coding 1 149900543 149908791 4.7706999999999996e-23 149904667.0
VPS45 ENSG00000136631 protein_coding 1 150039369 150117505 5.094e-06 150078437.0
PLEKHO1 ENSG00000023902 protein_coding 1 150121373 150136916 0.48341000000000006 150129144.0
ANP32E ENSG00000143401 protein_coding 1 150190717 150208504 0.8437600000000001 150199610.0
CA14 ENSG00000118298 protein_coding 1 150229554 150237478 5.9231e-16 150233516.0
APH1A ENSG00000117362 protein_coding 1 150237804 150241980 0.79479 150239892.0
C1orf54 ENSG00000118292 protein_coding 1 150240600 150253327 0.0002318 150246963.0
C1orf51 ENSG00000159208 protein_coding 1 150254953 150259505 0.7914100000000001 150257229.0
PRPF3 ENSG00000117360 protein_coding 1 150293925 150325671 1.0 150309798.0
RPRD2 ENSG00000163125 protein_coding 1 150335567 150449042 1.0 150392304.0
TARS2 ENSG00000143374 protein_coding 1 150459887 150480078 1.2185e-12 150469982.0
ECM1 ENSG00000143369 protein_coding 1 150480538 150486265 4.6626999999999997e-14 150483401.0
ADAMTSL4 ENSG00000143382 protein_coding 1 150521884 150533413 2.6008e-28 150527648.0
MCL1 ENSG00000143384 protein_coding 1 150547032 150552066 0.96349 150549549.0
ENSA ENSG00000143420 protein_coding 1 150573327 150602088 0.34917 150587707.0
GOLPH3L ENSG00000143457 protein_coding 1 150618701 150669630 1.2615e-05 150644165.0
HORMAD1 ENSG00000143452 protein_coding 1 150670536 150693364 0.94885 150681950.0
CTSS ENSG00000163131 protein_coding 1 150702672 150738433 0.34178000000000003 150720552.0
CTSK ENSG00000143387 protein_coding 1 150768684 150780799 3.0989e-05 150774741.0
ARNT ENSG00000143437 protein_coding 1 150782181 150849244 0.9958100000000001 150815712.0
SETDB1 ENSG00000143379 protein_coding 1 150898739 150937213 1.0 150917976.0
CERS2 ENSG00000143418 protein_coding 1 150933059 150947479 0.47978000000000004 150940269.0
ANXA9 ENSG00000143412 protein_coding 1 150954493 150968110 2.9752e-17 150961301.0
FAM63A ENSG00000143409 protein_coding 1 150969025 150980851 4.5522e-16 150974938.0
PRUNE ENSG00000143363 protein_coding 1 150980896 151008189 0.009147399999999998 150994542.0
BNIPL ENSG00000163141 protein_coding 1 151009046 151020076 3.0268e-10 151014561.0
C1orf56 ENSG00000143443 protein_coding 1 151020216 151024462 9.6918e-06 151022339.0
CDC42SE1 ENSG00000197622 protein_coding 1 151023447 151042801 0.0035426999999999998 151033124.0
MLLT11 ENSG00000213190 protein_coding 1 151030234 151040970 0.52915 151035602.0
GABPB2 ENSG00000143458 protein_coding 1 151043054 151098018 5.413e-06 151070536.0
SEMA6C ENSG00000143434 protein_coding 1 151104161 151119104 1.238e-06 151111632.0
TNFAIP8L2 ENSG00000163154 protein_coding 1 151129105 151132225 0.038363999999999995 151130665.0
LYSMD1 ENSG00000163155 protein_coding 1 151132224 151138424 0.017805 151135324.0
SCNM1 ENSG00000163156 protein_coding 1 151129140 151142773 2.9187e-06 151135956.0
TMOD4 ENSG00000163157 protein_coding 1 151142462 151148760 1.8344e-08 151145611.0
VPS72 ENSG00000163159 protein_coding 1 151142463 151167797 0.00020208 151155130.0
PIP5K1A ENSG00000143398 protein_coding 1 151170425 151222012 0.0020938000000000003 151196218.0
PSMD4 ENSG00000159352 protein_coding 1 151227179 151239955 0.99726 151233567.0
RP11-126K1.2 ENSG00000232671 protein_coding 1 151252500 151254405 0.12305 151253452.0
ZNF687 ENSG00000143373 protein_coding 1 151254094 151264656 0.97101 151259375.0
PI4KB ENSG00000143393 protein_coding 1 151264273 151300191 0.8660700000000001 151282232.0
RFX5 ENSG00000143390 protein_coding 1 151313116 151319833 1.9605e-11 151316474.0
SELENBP1 ENSG00000143416 protein_coding 1 151336778 151345209 3.2268e-16 151340993.0
PSMB4 ENSG00000159377 protein_coding 1 151372010 151374420 0.0026436999999999997 151373215.0
POGZ ENSG00000143442 protein_coding 1 151375200 151431941 1.0 151403570.0
CGN ENSG00000143375 protein_coding 1 151482986 151511168 1.8942e-31 151497077.0
TUFT1 ENSG00000143367 protein_coding 1 151512781 151556059 0.00010612 151534420.0
SNX27 ENSG00000143376 protein_coding 1 151584541 151671567 0.99977 151628054.0
CELF3 ENSG00000159409 protein_coding 1 151674880 151689290 0.76757 151682085.0
RIIAD1 ENSG00000178796 protein_coding 1 151682909 151702281 3.1905999999999996e-05 151692595.0
MRPL9 ENSG00000143436 protein_coding 1 151732119 151736040 0.00015633 151734079.0
OAZ3 ENSG00000143450 protein_coding 1 151735445 151743808 2.2775e-05 151739626.0
TDRKH ENSG00000182134 protein_coding 1 151742583 151763892 0.032356 151753237.0
LINGO4 ENSG00000213171 protein_coding 1 151772740 151778630 8.2397e-05 151775685.0
RORC ENSG00000143365 protein_coding 1 151778547 151804348 0.99985 151791447.0
C2CD4D ENSG00000225556 protein_coding 1 151810295 151813033 0.13012 151811664.0
THEM5 ENSG00000196407 protein_coding 1 151819739 151826173 3.7917000000000003e-11 151822956.0
THEM4 ENSG00000159445 protein_coding 1 151846060 151882284 3.8919000000000006e-07 151864172.0
S100A10 ENSG00000197747 protein_coding 1 151955391 151966866 0.16843 151961128.0
S100A11 ENSG00000163191 protein_coding 1 152004982 152020383 0.0084662 152012682.0
TCHHL1 ENSG00000182898 protein_coding 1 152056620 152061540 0.5837100000000001 152059080.0
TCHH ENSG00000159450 protein_coding 1 152078793 152086556 4.7135e-24 152082674.0
RPTN ENSG00000215853 protein_coding 1 152126071 152131704 2.5475e-05 152128887.0
HRNR ENSG00000197915 protein_coding 1 152184558 152196669 0.0004258 152190613.0
FLG ENSG00000143631 protein_coding 1 152274651 152297679 0.00028793 152286165.0
FLG2 ENSG00000143520 protein_coding 1 152321211 152332482 0.017969 152326846.0
CRNN ENSG00000143536 protein_coding 1 152381719 152386739 0.00012577 152384229.0
LCE5A ENSG00000186207 protein_coding 1 152483320 152484653 0.029651 152483986.0
CRCT1 ENSG00000169509 protein_coding 1 152486978 152488486 0.0019397000000000001 152487732.0
LCE3E ENSG00000185966 protein_coding 1 152538130 152539248 0.46574 152538689.0
LCE3D ENSG00000163202 protein_coding 1 152551857 152552980 0.020613 152552418.0
LCE3C ENSG00000244057 protein_coding 1 152573138 152573562 0.47523000000000004 152573350.0
LCE2D ENSG00000187223 protein_coding 1 152635872 152637135 0.085242 152636503.0
LCE2C ENSG00000187180 protein_coding 1 152647771 152649050 0.071993 152648410.0
LCE2B ENSG00000159455 protein_coding 1 152647771 152659877 0.097851 152653824.0
LCE2A ENSG00000187173 protein_coding 1 152670840 152671918 0.007171600000000001 152671379.0
C1orf68 ENSG00000198854 protein_coding 1 152691998 152692905 1.3581e-07 152692451.0
KPRP ENSG00000203786 protein_coding 1 152730506 152734529 3.0815e-12 152732517.0
LCE1F ENSG00000240386 protein_coding 1 152748848 152749445 0.0049674 152749146.0
LCE1E ENSG00000186226 protein_coding 1 152758690 152760902 0.16972 152759796.0
LCE1D ENSG00000172155 protein_coding 1 152769227 152770657 0.0040569000000000004 152769942.0
LCE1C ENSG00000197084 protein_coding 1 152777311 152779107 0.027961 152778209.0
LCE1B ENSG00000196734 protein_coding 1 152784447 152785585 0.030039999999999997 152785016.0
LCE1A ENSG00000186844 protein_coding 1 152799949 152800573 0.0043743 152800261.0
SPRR4 ENSG00000184148 protein_coding 1 152943142 152945050 0.038928 152944096.0
SPRR1A ENSG00000169474 protein_coding 1 152956557 152958289 0.0060385 152957423.0
SPRR1B ENSG00000169469 protein_coding 1 153003678 153005376 0.00063211 153004527.0
SPRR2D ENSG00000163216 protein_coding 1 153012201 153014407 0.015926 153013304.0
SPRR2E ENSG00000203785 protein_coding 1 153065611 153078660 0.060135 153072135.0
SPRR2F ENSG00000244094 protein_coding 1 153084590 153085991 0.08517999999999999 153085290.0
LELP1 ENSG00000203784 protein_coding 1 153175919 153177596 0.42788999999999994 153176757.0
PRR9 ENSG00000203783 protein_coding 1 153190060 153191793 3.2056e-06 153190926.0
LOR ENSG00000203782 protein_coding 1 153232176 153234598 0.33454 153233387.0
PGLYRP3 ENSG00000159527 protein_coding 1 153270338 153283194 9.6075e-08 153276766.0
PGLYRP4 ENSG00000163218 protein_coding 1 153302596 153321316 2.9387e-15 153311956.0
S100A9 ENSG00000163220 protein_coding 1 153330330 153333503 0.4777 153331916.0
S100A12 ENSG00000163221 protein_coding 1 153346184 153348125 0.48234 153347154.0
S100A8 ENSG00000143546 protein_coding 1 153362508 153363664 0.13760999999999998 153363086.0
S100A7A ENSG00000184330 protein_coding 1 153389000 153395701 0.002523 153392350.0
S100A7 ENSG00000143556 protein_coding 1 153430220 153433177 0.45274 153431698.0
S100A6 ENSG00000197956 protein_coding 1 153507075 153508720 0.17565 153507897.0
S100A5 ENSG00000196420 protein_coding 1 153509623 153514241 5.5111e-05 153511932.0
S100A4 ENSG00000196154 protein_coding 1 153516089 153522612 0.0061838 153519350.0
S100A3 ENSG00000188015 protein_coding 1 153519805 153521848 0.0079273 153520826.0
S100A2 ENSG00000196754 protein_coding 1 153533584 153540366 5.8403e-05 153536975.0
S100A16 ENSG00000188643 protein_coding 1 153579362 153585621 0.0010573 153582491.0
S100A14 ENSG00000189334 protein_coding 1 153586731 153589462 0.0018637999999999999 153588096.0
S100A13 ENSG00000189171 protein_coding 1 153591263 153606568 0.049651999999999995 153598915.0
S100A1 ENSG00000160678 protein_coding 1 153600402 153604513 0.0060044 153602457.0
CHTOP ENSG00000160679 protein_coding 1 153606525 153618782 0.76399 153612653.0
SNAPIN ENSG00000143553 protein_coding 1 153631130 153634306 0.0015332 153632718.0
ILF2 ENSG00000143621 protein_coding 1 153634512 153643524 0.9965 153639018.0
NPR1 ENSG00000169418 protein_coding 1 153651113 153666468 0.00029303 153658790.0
INTS3 ENSG00000143624 protein_coding 1 153700543 153746555 0.99972 153723549.0
SLC27A3 ENSG00000143554 protein_coding 1 153746830 153752633 5.269600000000001e-22 153749731.0
GATAD2B ENSG00000143614 protein_coding 1 153777201 153895451 0.99998 153836326.0
DENND4B ENSG00000198837 protein_coding 1 153901977 153919172 0.99098 153910574.0
CRTC2 ENSG00000160741 protein_coding 1 153920145 153931101 0.9989100000000001 153925623.0
SLC39A1 ENSG00000143570 protein_coding 1 153931575 153940188 0.12586 153935881.0
CREB3L4 ENSG00000143578 protein_coding 1 153940010 153946839 5.1401e-06 153943424.0
JTB ENSG00000143543 protein_coding 1 153946745 153950164 0.42432 153948454.0
RAB13 ENSG00000143545 protein_coding 1 153954127 153958834 0.02472 153956480.0
RPS27 ENSG00000177954 protein_coding 1 153963235 153964626 0.75663 153963930.0
NUP210L ENSG00000143552 protein_coding 1 153965161 154127592 0.0003199 154046376.0
TPM3 ENSG00000143549 protein_coding 1 154127784 154167124 0.006652199999999999 154147454.0
C1orf189 ENSG00000163263 protein_coding 1 154171848 154178809 2.5894e-08 154175328.0
C1orf43 ENSG00000143612 protein_coding 1 154179182 154193104 0.0018461999999999999 154186143.0
UBAP2L ENSG00000143569 protein_coding 1 154192655 154243986 1.0 154218320.0
HAX1 ENSG00000143575 protein_coding 1 154244987 154248351 8.481299999999999e-08 154246669.0
AQP10 ENSG00000143595 protein_coding 1 154293566 154297801 0.0013339 154295683.0
ATP8B2 ENSG00000143515 protein_coding 1 154298029 154323783 0.0056318 154310906.0
IL6R ENSG00000160712 protein_coding 1 154377669 154441926 3.1681e-05 154409797.0
SHE ENSG00000169291 protein_coding 1 154442248 154474589 0.9885 154458418.0
TDRD10 ENSG00000163239 protein_coding 1 154474695 154520623 1.1461e-05 154497659.0
UBE2Q1 ENSG00000160714 protein_coding 1 154521053 154531504 0.9991899999999999 154526278.0
CHRNB2 ENSG00000160716 protein_coding 1 154540257 154552502 0.00072964 154546379.0
ADAR ENSG00000160710 protein_coding 1 154554538 154600475 0.026282 154577506.0
KCNN3 ENSG00000143603 protein_coding 1 154669931 154842756 0.9722700000000001 154756343.0
PMVK ENSG00000163344 protein_coding 1 154897210 154909467 2.7113000000000003e-05 154903338.0
PBXIP1 ENSG00000163346 protein_coding 1 154916552 154928599 9.792499999999999e-11 154922575.0
PYGO2 ENSG00000163348 protein_coding 1 154929502 154936329 0.9667600000000001 154932915.0
SHC1 ENSG00000160691 protein_coding 1 154934774 154946871 0.0017350999999999998 154940822.0
CKS1B ENSG00000173207 protein_coding 1 154947129 154951725 0.4314 154949427.0
FLAD1 ENSG00000160688 protein_coding 1 154955814 154965587 0.0093637 154960700.0
LENEP ENSG00000163352 protein_coding 1 154966062 154966791 0.0033891999999999998 154966426.0
ZBTB7B ENSG00000160685 protein_coding 1 154975127 154990998 0.34362 154983062.0
DCST2 ENSG00000163354 protein_coding 1 154990996 155006257 1.8188e-12 154998626.0
DCST1 ENSG00000163357 protein_coding 1 155006300 155023406 1.2680999999999998e-19 155014853.0
ADAM15 ENSG00000143537 protein_coding 1 155023042 155035252 2.4409e-16 155029147.0
EFNA4 ENSG00000243364 protein_coding 1 155036207 155042029 0.00035006 155039118.0
EFNA3 ENSG00000143590 protein_coding 1 155036224 155060014 0.12599000000000002 155048119.0
EFNA1 ENSG00000169242 protein_coding 1 155099936 155107333 0.46263000000000004 155103634.0
SLC50A1 ENSG00000169241 protein_coding 1 155107820 155111329 0.0019259000000000001 155109574.0
DPM3 ENSG00000179085 protein_coding 1 155112367 155113071 0.23318000000000003 155112719.0
KRTCAP2 ENSG00000163463 protein_coding 1 155141884 155145951 0.00035184 155143917.0
TRIM46 ENSG00000163462 protein_coding 1 155145873 155157447 0.99925 155151660.0
MUC1 ENSG00000185499 protein_coding 1 155158300 155162707 0.018774000000000002 155160503.0
THBS3 ENSG00000169231 protein_coding 1 155165379 155178842 2.5795e-21 155172110.0
MTX1 ENSG00000173171 protein_coding 1 155178490 155183615 0.013271000000000002 155181052.0
GBA ENSG00000177628 protein_coding 1 155204243 155214490 1.4355e-06 155209366.0
FAM189B ENSG00000160767 protein_coding 1 155216996 155225274 8.055399999999999e-06 155221135.0
SCAMP3 ENSG00000116521 protein_coding 1 155225770 155232221 0.0021904 155228995.0
CLK2 ENSG00000176444 protein_coding 1 155232659 155248282 0.99997 155240470.0
HCN3 ENSG00000143630 protein_coding 1 155247374 155259639 2.5694e-05 155253506.0
PKLR ENSG00000143627 protein_coding 1 155259630 155271225 3.4869e-07 155265427.0
FDPS ENSG00000160752 protein_coding 1 155278539 155290457 0.0056199 155284498.0
RUSC1 ENSG00000160753 protein_coding 1 155290687 155300905 0.9413 155295796.0
ASH1L ENSG00000116539 protein_coding 1 155305059 155532598 1.0 155418828.0
YY1AP1 ENSG00000163374 protein_coding 1 155629237 155658791 1.9461000000000004e-18 155644014.0
MSTO1 ENSG00000125459 protein_coding 1 155579979 155718153 1.6181999999999999e-09 155649066.0
DAP3 ENSG00000132676 protein_coding 1 155657751 155708801 1.1143e-09 155683276.0
GON4L ENSG00000116580 protein_coding 1 155719508 155829191 0.9515 155774349.0
SYT11 ENSG00000132718 protein_coding 1 155829300 155854990 0.92676 155842145.0
RIT1 ENSG00000143622 protein_coding 1 155867599 155881195 0.13280999999999998 155874397.0
KIAA0907 ENSG00000132680 protein_coding 1 155882834 155904191 0.96921 155893512.0
RXFP4 ENSG00000173080 protein_coding 1 155911480 155912625 6.008e-06 155912052.0
ARHGEF2 ENSG00000116584 protein_coding 1 155916630 155976861 1.0 155946745.0
SSR2 ENSG00000163479 protein_coding 1 155978839 155990750 0.21478000000000003 155984794.0
UBQLN4 ENSG00000160803 protein_coding 1 156005092 156023585 0.9825200000000001 156014338.0
LAMTOR2 ENSG00000116586 protein_coding 1 156024543 156028301 0.19816 156026422.0
RAB25 ENSG00000132698 protein_coding 1 156030951 156040295 1.1227e-07 156035623.0
MEX3A ENSG00000254726 protein_coding 1 156041804 156051789 0.97977 156046796.0
LMNA ENSG00000160789 protein_coding 1 156052364 156109880 0.9994 156081122.0
SEMA4A ENSG00000196189 protein_coding 1 156117157 156147543 1.8394e-05 156132350.0
SLC25A44 ENSG00000160785 protein_coding 1 156163880 156182587 0.00092458 156173233.0
PMF1 ENSG00000160783 protein_coding 1 156182784 156212874 1.0729999999999999e-08 156197829.0
BGLAP ENSG00000242252 protein_coding 1 156211753 156213112 4.6155e-08 156212432.0
PAQR6 ENSG00000160781 protein_coding 1 156213206 156217881 6.5548e-05 156215543.0
SMG5 ENSG00000198952 protein_coding 1 156219015 156252620 0.012768 156235817.0
TMEM79 ENSG00000163472 protein_coding 1 156252726 156262976 4.3888e-06 156257851.0
C1orf85 ENSG00000198715 protein_coding 1 156259880 156265463 1.4234999999999998e-11 156262671.0
CCT3 ENSG00000163468 protein_coding 1 156278759 156337664 0.99998 156308211.0
TSACC ENSG00000163467 protein_coding 1 156307105 156316786 0.017937 156311945.0
RHBG ENSG00000132677 protein_coding 1 156339003 156355011 1.0750999999999999e-13 156347007.0
C1orf61 ENSG00000125462 protein_coding 1 156374042 156400493 1.0714000000000001e-05 156387267.0
MEF2D ENSG00000116604 protein_coding 1 156433519 156470620 0.99705 156452069.0
IQGAP3 ENSG00000183856 protein_coding 1 156495197 156542396 2.3958999999999998e-33 156518796.0
TTC24 ENSG00000187862 protein_coding 1 156549519 156556562 2.3067e-08 156553040.0
APOA1BP ENSG00000163382 protein_coding 1 156561554 156564091 2.4443e-06 156562822.0
GPATCH4 ENSG00000160818 protein_coding 1 156564279 156571288 5.6931e-05 156567783.0
HAPLN2 ENSG00000132702 protein_coding 1 156589086 156595517 7.1205e-07 156592301.0
BCAN ENSG00000132692 protein_coding 1 156611182 156629324 1.7582e-06 156620253.0
NES ENSG00000132688 protein_coding 1 156638555 156647189 1.6236000000000002e-06 156642872.0
CRABP2 ENSG00000143320 protein_coding 1 156669398 156675608 0.0015095999999999998 156672503.0
ISG20L2 ENSG00000143319 protein_coding 1 156691683 156698591 0.087751 156695137.0
RRNAD1 ENSG00000143303 protein_coding 1 156698234 156706752 1.4029999999999999e-11 156702493.0
MRPL24 ENSG00000143314 protein_coding 1 156707095 156711382 1.9123e-06 156709238.0
HDGF ENSG00000143321 protein_coding 1 156711899 156736717 0.27271999999999996 156724308.0
PRCC ENSG00000143294 protein_coding 1 156720402 156770607 0.96281 156745504.0
SH2D2A ENSG00000027869 protein_coding 1 156776035 156786654 8.2695e-07 156781344.0
NTRK1 ENSG00000198400 protein_coding 1 156785432 156851642 1.9568e-06 156818537.0
INSRR ENSG00000027644 protein_coding 1 156809855 156828810 5.3976e-24 156819332.0
PEAR1 ENSG00000187800 protein_coding 1 156863490 156886226 3.4806e-20 156874858.0
LRRC71 ENSG00000160838 protein_coding 1 156890442 156902886 1.9091e-06 156896664.0
ARHGEF11 ENSG00000132694 protein_coding 1 156904632 157015162 1.0 156959897.0
ETV3L ENSG00000253831 protein_coding 1 157061836 157069600 6.196e-08 157065718.0
